Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Pipe crimper,30548
Pipe crimping kit,34874
Nail puller pincers,32620
Nail puller pliers,32586
Auto wire stripping pliers,29475
Cable & flex insulation stripper,29480
Cable & wire stripper,29476
Coax cable stripper,29481
Ratcheting wire stripper,29477
Ratcheting wire stripping tool,29478
Wire stripper,22805
Wire stripping pliers,29479
Bearing separator & puller set,29458
Circlip pliers set,29459
Compound action pliers set,29460
Ergonomic pliers set,29461
High leverage pliers set,29462
Mini pliers set,29463
Pliers & wrench set,29464
Pliers set,29465
VDE pliers set,31021
2-in-1 cutter,29514
6-in-1 cutter,29515
Cable cutter,29516
Circular glass cutter,29517
Cutting pliers,29521
Diagonal cutting pliers,29518
Diagonal side cutter,31019
Diagonal/Side cutter,23147
High leverage diagonal plier,29519
High leverage side cutter,29520
Plier,23880
VDE diagonal side cutter,31018
Wire cutter,22777
10-in-1 crimping tool,34502
4-in-1 crimping tool,30910
Co-axial cable crimping tool,29545
Crimping pliers,12106
Crimping tool,22820
"Cutting, crimping & stripping tool",29546
Four-way crimper,29547
Heavy duty crimping tool,29548
Joining crimper,29549
Ratchet crimping pliers,29551
Ratchet crimping tool,29550
RJ45 crimping tool,32080
Combination pliers,12068
De-mounting pliers,29552
Diagonal pliers,29553
Eyelet pliers starter kit,29554
Fencing pliers,12241
Groovejoint pliers,29556
High leverage combination pliers,29557
High leverage side cutters,29558
Jaw locking pliers,29559
Joint pliers,29560
Locking pliers,12466
Locking wrench,29561
Mini combination pliers,24005
Multi-function pliers,29563
VDE combination pliers,29564
Vice wrench pliers,29565
Circlip pliers,12051
Floating digital thermometer,35368
Pool thermometer,35519
Anemometer,35365
Tape measure,23078
Tape measure set,24746
Measuring wheel,23661
Level & measuring tool set,29570
Measuring set,24744
Template tool,24743
Humidity meter,24747
Hygrometer,24742
Thermometer & hygrometer,29571
Bar & chisel set,24623
Bar set,29531
Bolster & chisel set,29532
Chisel & bolster set,29533
Chisel set,17055
Demolition bar & utility bar,29534
Demolition bar set,29535
Multi-purpose bar set,29536
Plugging chisel set,29537
SDS chisel set,29538
Slide strike chisel set,29539
Thru tang chisel set,29540
Wood chisel set,29541
Wood turning chisel set,29542
Cable & flex draw tape,24621
Draw tape,24622
Fish tape,24620
Cable rod dispenser,24615
Cable rod connector,24614
Rod carry case,24613
Cable rod accessory kit,24611
Cable rod attachments,24612
Cable dispenser,24609
Cable protector,24608
Cable access set,29604
Cable routing set,29610
Cable routing tool,24619
Split load cable kit,29614
Rod inspection light,24616
Cable access kit,24618
Cable rod kit,24617
Cable routing tool kit,33829
CableQuick set,33127
Torque screwdriver,24637
Torque screwdriver set,24638
Screwdriver set,12512
Screwdriver tip set,34687
Re-threading tool,22776
Drain rod set,24526
Drain rod case,24525
Double worm screw,33805
Drain rod attachment,24524
Drop scraper,33796
Pipe threader machine,24521
Water level,29691
Water level kit,30898
Laser mounting pole,33306
Telescopic pole,24515
Laser level mount,24514
Fixed laser level,28049
Laser level,12408
Glass cutter,24506
Dowelling jig,24512
Door stand,24509
Hex & torx key,23772
Hex & torx keys,29408
Hex key,23697
Hex key set,29414
Hex keys,24576
Torx key,22800
Torx key set,34500
Socket extension bar,24720
Drive socket set,33795
Socket rail clip set,24721
Socket set,12631
Socketry set,24719
Ratchet handle,23636
Telescopic ratchet handle,23635
Double ended socket wrench,24592
L-type socket wrench,30815
Rasp plane,24551
Rasp plane blades,24550
Surform blade,32939
Hand sanding sheet,24547
Die,30545
Tap,13000
Tap & die set,24473
Slate cutter,24498
Lead dresser,24502
File,22838
Rasp,22857
Tile file,29507
Tapping block,32654
Pulling bar,29405
Pulling ledge,24456
Edger,27090
Edging trowel,31921
Plasterers darby,32591
Scarifier,12509
Plasterer's kit,32898
Plaster's rule,24483
Caulker,33660
Plaster skimming blade,24482
Plasterers hawk,12859
Plaster pan,24481
Hawk,12353
Float,24480
Plasterers float,29510
Feather edge,24479
Drywall rasp,24478
Flat drywall rasp,29503
Half round drywall rasp,29502
Round drywall rasp,29505
Spiked float,31906
Corner trowel,24477
Board carrier,24474
Door & board lifter,24476
Door carrier,24475
Panel toter,33659
Mallet cap,33303
Log splitting grenade,33724
Wood splitting wedge,24470
Mallet,12551
Hammer,22794
Hammer set,24469
Club hammer,22793
Demolition hammer,24472
Oxygen sensor wrench,32582
Water filter wrench,35536
Conduit bush wrench,24669
Torque wrench set,24670
Torque wrench,23637
Pipe wrench,24665
Pipe wrenches,24664
Wood carving gouges,34883
Wood carving gouge set,34882
Wood chisel,24461
Wood chisels set,35075
Electrician's tool kit,33992
Hand tool kit,30894
Plumber's tool kit,33991
Student tool kit,33990
Tool kit,28045
Tool set,24510
Mixed spanner set,33326
Scaffold spanner,24705
Box spanners,24672
Box spanner,22853
Ring-end spanner,24704
Stroller,36120
Vivarium cabinet,36101
Aquarium water treatment granules,36086
Aquarium water treatment powder,36087
Aquarium sand,36085
Aquarium plant,36083
Honey uncapping fork,36063
Honey settling tank,36062
Honey filter,36061
Honey strainer,36075
Honey extractor,36060
Beekeeping fumigator,36036
Beekeeping smoker,36073
Beekeeping frame grip,36035
Lead,32086
Leash,35902
Pet door,35009
Pet hub,35011
Pet bed,36128
Pet house,36132
Chicken coop,29169
Hedgehog house,34413
Insect house,31766
Nest & wildlife boxes,27436
Nest box,31742
Roosting pouch,31697
Bedding,35969
Nesting material,35966
Hay ball,35964
Hay net,35968
Placemat,24436
Odour remover,28489
Litter tray mat,36095
Litter tray liner,36094
Animal excrement bags,35905
Bird Litter,35893
Smart pet toy,36099
Dog agility slalom,36052
Dog agility kit,36051
Toy,27577
Smart animal water fountain,36097
Hay rack,36057
Drinking bottle,36028
Water bottle,36029
Water bowl,34340
Dry food,36643
Food pellets,36647
Food toppers,36644
Freeze dried food,36646
Frozen & raw food,36645
Hay & grass,36648
Treats,36649
Wet food,36642
Hub cap,36150
Wheel trim,32974
Snow chain,36148
Tyre bag,36144
Tyre cover,36143
Engine leveller,36191
Platform lift,36163
Workshop platform lift,36164
Workshop engine crane,29054
Ladder roof rack,31892
Van roof rack,29073
Car sleeve sunshade,36181
Vehicle sleeve sunshade,36209
Registration plate fitting kit,36200
Tinted window film,36201
Car key fob shell,36176
Car key shell,36177
Vehicle key fob shell,36205
Vehicle key shell,36206
Car windscreen cover,36186
Vehicle windscreen cover,36213
Car mesh bag,36178
Safety flag,36291
Registration plate holder,35731
Vehicle mat,29121
Vehicle fuse set,29118
Front & rear seat cover,36568
Front seat cover,32384
Rear seat cover,32376
Seat cover,29124
Wheel sprayer,29017
Wheel brush,16985
Car cleaning kit,29014
Car wax kit,32962
Vehicle cleaning kit,36622
Wheel care kit,32382
Wheel dolly,36214
Wheel skate,36215
Rim stand,36141
Tyre & rim stand,36142
Tyre stand,36140
Powered tyre compressor,29059
Tyre inflator,32373
Manual winch,34372
Tow rope,29126
Tow strap,29127
Trailer hitch & coupling lock,29093
Trailer cover,29092
Trailer board plug,29128
Trailer board socket,29129
Tow step,29090
Tow hitch,29089
Fuel line disconnect tool set,36154
Line disconnect tool set,36155
Windshield wiper arm,36153
Bush & bearing removal tool set,36149
Windshield wiper arm removal tool,36146
Wiper arm puller,36147
Cross wheel wrench,35758
Brake spring puller,34379
Windscreen wiper arm removal tool,34445
Belt tension meter,34378
Wheel nut socket,28967
Oil filter pliers,28961
Oil draining pan,28960
Gear puller,28955
Gasket scraper,28954
Feeler gauge,23650
Ball joint separator,28949
CV joint removal tool,33614
Ball joint puller,28948
Oil drainer,36167
Oil suction syringe,36168
Oil drainer with container,36165
Oil drainer with tank,36166
Metal sealant,34707
Automotive radiator sealant,34249
Power steering fluid,32957
De-ionised water,31779
Screenwash,29010
Floor safe,32908
Key cabinet safe,21420
Mechanical safe,21425
Non-fire rated key locked safe,29145
Safe,32443
Cash box,21421
Security chest,33780
Digitally-locked key cabinet,29150
Key cabinet,32734
Key lock box,24115
Key safe,32732
Reinforced key safe,32907
Biometric optical safe,35135
Gun safe,33348
Gun safe with ammunition compartment,34578
Key access safe,33784
Biometric lock,34574
Luggage strap,29277
Padlock,21412
Shackle,35256
Site safe,29048
Van safe,29047
Site cage,29046
Access tower,32731
Scaffold tower,32737
Tower,29038
Folding work platform,32456
Work platform,22639
Folding tower extension pack,29036
Broom & accessory holder,34404
Broom & mop holder,34405
Radiator hook,11689
Tool storage rail,28710
Tool storage rail set,35364
Tool storage rail kit,28709
Drill holster,24603
Multi hook,32131
Spanner rack,32132
Spray can holder,32130
Tool holder,33782
Tool hook,33781
Tool storage rail holder,32442
Tool storage rail holder & hook,28708
Ladder storage hook,28713
Cylinder wall bracket,28712
Bike storage hook,28711
Storage bin,28706
Storage crate,18395
Storage divider box,33080
Storage trunk,17653
Lid,22239
Storage container handle,30192
Storage rack,28707
Storage bin leg,28704
Storage bin rail,28705
Storage bin net,35465
Storage box net,35466
Organiser bin,22557
Organiser bin carrier,32730
Organiser bin set,22356
Organiser bin storage system,28702
Organiser cabinet,32906
Organiser Bin Kit,28701
Wall organiser kit,33346
Louvred panel,28700
Euro box,29135
Container trolley with container,28699
Workshop bench,28726
Upright bookend,28717
Corner shelving unit,28682
Height extension unit,33898
Low shelving unit,33899
Shelving unit,28681
Tall shelving unit,33900
Dolly handle,32910
Platform handle,34391
Trolley handle,32948
Hand truck,22355
Luggage cart,33345
Sack truck,29131
Stair climbing truck,32736
Wood moving cart,32739
Storage cabinet set,35540
Single arm connector,34301
Tool cabinet,29044
Tool chest,24610
High storage cabinet,22549
Low storage cabinet,22554
Storage cabinet,29040
Stacked tool cabinet,29043
Roller tool cabinet,29042
Tool combination cabinet,32439
Multi-drawer unit,29041
Tower unit,32740
Locker,29039
Single section ladder,35684
Loft storage stilt,32657
Rope ladder,17218
Step stool,22625
Loft ladder kit,28615
Combination ladder,21215
Combination telescopic ladder,32436
Ladder,32437
Faraday bag,36640
Faraday pouch,36641
Tool holder board set,35355
Toolbox set,34347
Trolley & organiser,34348
Trolley & toolbox,34346
Compartment tray,33664
Decorating tools storage system separator,31353
Decorating tools storage system lid,31351
Decorating tools storage system separator lid,31352
Tool cart,22363
Toolbox trolley,28052
Caddy,21916
Cantilever toolbox,29652
Carry case,34869
Cleaning caddy,29656
Compartment organiser case,33318
Crate,33743
Drawer system chest,29664
Hard base open mouth tool bag,29667
Open crate,22342
Power tool case,29677
Technician's case,29678
Tool caddy,29687
Tool case,22412
Tool case set,22334
Tool chest bundle,29688
Toolbox,21912
Toolbox twin pack,29689
Tote tray caddy,29690
Trunk tool box,34408
Carpenter's tool belt,29655
Contractor pouch,29679
Double pouch & tool belt,29659
Double pouch with belt,29663
Electrician's pouch,29670
Mobile phone pouch,29680
Padded suspenders,29681
Pouch,29682
Pouch with belt,29673
Single pouch with belt,29676
Supply pouch,29683
Technician's pouch,29684
Tool apron,34941
Tool belt,24671
Tool pouch,29685
Utility pouch,29686
Work belt,22331
Belt with pouches,29651
Cliptech hubs,29654
Double pouch,33742
Electricians pouch,33745
Padded belt with back support,29658
Pouch set,29662
Single pouch & belt,29675
Single pouch & drill holster,29672
Tool belt & holster set,24604
Tool belt & tools,29669
Tool roll,33746
Hammer loop,29650
Holster,24602
Lanyard,33665
Duffle bag,29649
Hard base tool bag,35535
Laptop bag,33744
Open mouth bag,33741
Open tote,30904
Open tote bag,30905
Tool bag,9667
Tool bag with wheels,29653
Backpack,24600
Backpack with wheels,29648
Rucksack,24601
3 in 1 tool organiser,29644
Cantilever organiser,29645
Decorating tool organiser,33056
Divider box,36577
Divider compartment box,36579
Heavy duty organiser case,22360
Insert caddy,36580
Insert tray,36574
Lidded box,36581
Organiser case,22364
Small organiser tool box,29646
Soft storage organiser,12682
Tool organiser,29665
Wall organiser,29913
Wall organiser rail,29917
Foam insert,24599
Bag,24496
Sack,12495
Sack & bag,24497
General purpose lubricant,34269
Shower waterproofing kit,29001
Liquid waterproofing,28999
Multi-purpose waterproofer,26634
Grout reviver,35165
Adhesive strip,29719
Replacement adhesive strip,34493
Pad,21749
Stick-on coins,32938
Magnetic strip,33223
Magnetic tape,12572
Adhesive,33033
Adhesive dots,32548
Adhesive pad,33026
Adhesive square,35610
Tape,22673
Tape dispenser,29103
Tape dispenser & tape,33421
Anti-slip tape,11896
Packaging tape,22558
Jointing tape,13127
Reinforced corner jointing tape,22395
Reinforcing tape,22350
Roof edging tape,35611
Sealing tape,12518
Self gripping tape,34328
Sealant finisher,36599
Boat sealant,33409
Rope seal,30447
Rope seal & glue,30448
Puncture repair,28795
Tyre puncture repair,28794
Wheel sealant,31402
Glue remover,32547
PU remover,33343
Sealant remover,24026
Superglue remover,33528
Sanitary sealant,24020
Sealant,12516
Bituminous mastic,33811
Lead sheet sealant,32556
Roofing waterproofer,31490
Heat-resistant sealant,34083
"Adhesive, sealant & filler",33091
Hydrokit joint sealant,29956
Intucrylic sealant,32546
Agent,33032
Concrete sealer,26623
Facade sealant,31065
Patio & paving sealer,26625
Paving Sealer,31292
Plaster,12905
Tarmac sealer & restorer,26630
Water sealant,31250
Sealant & adhesive,33030
Sealant & repairer,33029
Cartridge gun,12011
Smoother & remover tool,33090
Smoothing tool,29002
Pressure pack head,33914
Sealant nozzle,29003
Sealant gun,29004
Filler,21489
Krayon,33027
Patch & filler,33031
Putty,24092
Powder filler,21729
Decorators caulk,12917
Blu tack,32537
Re-useable adhesive,32535
Wood glue,12954
Wallpaper remover,32673
Contact adhesive,30462
Glue,31896
Liquid contact adhesive,28933
Adhesive & filler,33088
Grab adhesive,28920
Grab adhesive & filler,32549
Grab adhesive & sealant,32543
Resin,30468
Solvent weld,26393
Glue stick,28917
2-part adhesive,28925
2-part adhesive mitre pen,30773
Mitre adhesive,36752
Vehicle lock & safe kit,35575
Ladder trade security kit,35574
Disc brake lock,35549
Motorcycle security kit,35548
